dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eitle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=capurro,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=thissen,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=meyer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hossi,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=buerkle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=heck,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=matthes,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=xu,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=britsch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kuhlemann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=me23,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gao,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=berner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=me02,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=michl,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schlichter,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=krueger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kamm,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wenzel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hartz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=irmisch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sun,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ri,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=moeller,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sailer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=knapper,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schaugg,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lu,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ks,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lowry,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schmid,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fb1mac,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schirmer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hu,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hg,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=he,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=gu,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kmeyer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kriha,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fo,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sw25,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schwarzer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fuchs,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bauerp,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eichsteller,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=maucher,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=feldmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=henning,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=yang,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=drupa04,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rabe,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=andrews,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=leloup,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=neumann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=wmmail,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hennies,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kb13,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nschwa,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=glaeser,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zimmerer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=roesner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=calvelli,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=golini,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bader,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=baumann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jaekel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schumann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=renner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lueftner,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=matt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kense,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=koessi,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=baehring,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=westbomke,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=smarlow,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nicolin,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kiefer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=conze,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=reyer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jennerjahn,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=deissler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bartel,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=stempfle,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schulze,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=duerr,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jf13,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tahi,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=tritsch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=payer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=eberhardt,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fischer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rzmac,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=meider,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=shneider,ou=userlist,dc=hdm-stuttgart,dc=de"
